Poverty Rates,,,,,
,,,,,
,Total population for whom poverty status is determined,Total in poverty,Poverty rate,Percent of Boston's impoverished,
United States,"316,715,051","42,510,843",13.4%, 	-  ,
Massachusetts,"6,615,375","680,962",10.3%, 	-  ,
Boston,"641,654","121,364",18.9%, 	-  ,
Allston,"14,019","3,915",27.9%,3.2%,
Back Bay,"16,263","1,941",11.9%,1.6%,
Beacon Hill,"9,635",614,6.4%,0.5%,
Brighton,"52,145","8,972",17.2%,7.4%,
Charlestown,"19,800","2,859",14.4%,2.4%,
Dorchester,"126,173","28,033",22.2%,23.1%,
Downtown,"15,103","3,191",21.1%,2.6%,
East Boston,"47,038","7,548",16.0%,6.2%,
Fenway,"19,372","7,594",39.2%,6.3%,
Hyde Park,"38,493","5,743",14.9%,4.7%,
Jamaica Plain,"39,985","5,119",12.8%,4.2%,
Longwood,390,116,29.7%,0.1%,
Mattapan,"26,278","5,283",20.1%,4.4%,
Mission Hill,"15,244","5,647",37.0%,4.7%,
North End,"8,696",699,8.0%,0.6%,
Roslindale,"29,643","2,891",9.8%,2.4%,
Roxbury,"50,825","16,105",31.7%,13.3%,
South Boston,"36,595","5,154",14.1%,4.2%,
South Boston Waterfront,"4,190",248,5.9%,0.2%,
South End,"32,288","6,429",19.9%,5.3%,
West End,"5,909",830,14.0%,0.7%,
West Roxbury,"33,052","2,087",6.3%,1.7%,
,,,,,
"Source: U.S. Census Bureau, 2015-2019 American Community Survey, BPDA Research Division Analysis",,,,,
Table Name: Poverty Status in the Past 12 Months by Age,,,,,
Table ID:  B17020,,,,,
Universe: Population for whom poverty status is determined,,,,,
