"GEO_ID","NAME","B99221_001E","B99221_001EA","B99221_002E","B99221_002EA","B99221_003E","B99221_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Allocated","Annotation of Estimate!!Total:!!Allocated","Estimate!!Total:!!Not allocated","Annotation of Estimate!!Total:!!Not allocated",
"8600000US02021","ZCTA5 02021","9238","null","296","null","8942","null",
"8600000US02114","ZCTA5 02114","7235","null","92","null","7143","null",
"8600000US02116","ZCTA5 02116","12014","null","170","null","11844","null",
"8600000US02118","ZCTA5 02118","13672","null","346","null","13326","null",
"8600000US02119","ZCTA5 02119","11738","null","367","null","11371","null",
"8600000US02121","ZCTA5 02121","10740","null","284","null","10456","null",
"8600000US02122","ZCTA5 02122","8656","null","176","null","8480","null",
"8600000US02124","ZCTA5 02124","19555","null","429","null","19126","null",
"8600000US02125","ZCTA5 02125","13063","null","428","null","12635","null",
"8600000US02126","ZCTA5 02126","9968","null","376","null","9592","null",
"8600000US02127","ZCTA5 02127","17109","null","399","null","16710","null",
"8600000US02128","ZCTA5 02128","17123","null","888","null","16235","null",
"8600000US02130","ZCTA5 02130","17680","null","596","null","17084","null",
"8600000US02131","ZCTA5 02131","12625","null","518","null","12107","null",
"8600000US02136","ZCTA5 02136","12242","null","591","null","11651","null",
"8600000US02169","ZCTA5 02169","25724","null","450","null","25274","null",
"8600000US02186","ZCTA5 02186","8656","null","195","null","8461","null",
"8600000US02368","ZCTA5 02368","11727","null","612","null","11115","null",
"8600000US02445","ZCTA5 02445","8675","null","202","null","8473","null",
