"GEO_ID","NAME","B19058_001E","B19058_001EA","B19058_001M","B19058_001MA","B19058_002E","B19058_002EA","B19058_002M","B19058_002MA","B19058_003E","B19058_003M","B19058_003MA","B19058_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP","Annotation of Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!With cash public assistance or Food Stamps/SNAP","Annotation of Margin of Error!!Total:!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total:!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!No cash public assistance or Food Stamps/SNAP","Annotation of Margin of Error!!Total:!!No cash public assistance or Food Stamps/SNAP","Annotation of Estimate!!Total:!!No cash public assistance or Food Stamps/SNAP",
"8600000US02108","ZCTA5 02108","2046","null","266","null","18","null","28","null","2028","264","null","null",
"8600000US02109","ZCTA5 02109","1892","null","211","null","61","null","45","null","1831","209","null","null",
"8600000US02110","ZCTA5 02110","1325","null","229","null","65","null","47","null","1260","218","null","null",
"8600000US02111","ZCTA5 02111","3626","null","378","null","888","null","195","null","2738","329","null","null",
"8600000US02113","ZCTA5 02113","4286","null","397","null","128","null","72","null","4158","410","null","null",
"8600000US02114","ZCTA5 02114","7235","null","466","null","548","null","165","null","6687","447","null","null",
"8600000US02115","ZCTA5 02115","9276","null","693","null","1676","null","235","null","7600","703","null","null",
"8600000US02116","ZCTA5 02116","12014","null","595","null","1112","null","199","null","10902","553","null","null",
"8600000US02118","ZCTA5 02118","13672","null","658","null","3210","null","511","null","10462","558","null","null",
"8600000US02119","ZCTA5 02119","11738","null","681","null","4166","null","475","null","7572","618","null","null",
"8600000US02120","ZCTA5 02120","4973","null","401","null","1343","null","271","null","3630","344","null","null",
"8600000US02121","ZCTA5 02121","10740","null","739","null","3894","null","536","null","6846","697","null","null",
"8600000US02122","ZCTA5 02122","8656","null","587","null","1768","null","384","null","6888","642","null","null",
"8600000US02124","ZCTA5 02124","19555","null","831","null","5848","null","713","null","13707","792","null","null",
"8600000US02125","ZCTA5 02125","13063","null","506","null","3193","null","332","null","9870","482","null","null",
"8600000US02126","ZCTA5 02126","9968","null","589","null","3219","null","448","null","6749","649","null","null",
"8600000US02127","ZCTA5 02127","17109","null","649","null","2005","null","269","null","15104","721","null","null",
"8600000US02128","ZCTA5 02128","17123","null","701","null","3060","null","398","null","14063","670","null","null",
"8600000US02129","ZCTA5 02129","9390","null","437","null","1439","null","347","null","7951","406","null","null",
"8600000US02130","ZCTA5 02130","17680","null","822","null","2019","null","303","null","15661","819","null","null",
"8600000US02131","ZCTA5 02131","12625","null","495","null","1879","null","242","null","10746","502","null","null",
"8600000US02132","ZCTA5 02132","11454","null","652","null","921","null","255","null","10533","669","null","null",
"8600000US02134","ZCTA5 02134","8308","null","418","null","681","null","206","null","7627","366","null","null",
"8600000US02135","ZCTA5 02135","19739","null","825","null","2349","null","381","null","17390","818","null","null",
"8600000US02136","ZCTA5 02136","12242","null","686","null","2504","null","466","null","9738","780","null","null",
"8600000US02151","ZCTA5 02151","18571","null","672","null","2963","null","363","null","15608","670","null","null",
"8600000US02163","ZCTA5 02163","473","null","74","null","0","null","13","null","473","74","null","null",
"8600000US02199","ZCTA5 02199","914","null","176","null","0","null","13","null","914","176","null","null",
"8600000US02203","ZCTA5 02203","24","null","21","null","13","null","22","null","11","18","null","null",
"8600000US02210","ZCTA5 02210","2711","null","332","null","78","null","67","null","2633","338","null","null",
"8600000US02215","ZCTA5 02215","8055","null","632","null","575","null","169","null","7480","611","null","null",
"8600000US02467","ZCTA5 02467","6594","null","454","null","123","null","91","null","6471","458","null","null",
